Reference, Value, Footprint, Datasheet, Part#, Vendor
"U1","ATmega328-PU","Package_DIP:DIP-28_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf"
"Y1","Crystal","Crystal:Crystal_HC49-U_Vertical","http://www.txccrystal.com/images/pdf/9b.pdf","887-2015-ND","digikey"
"C1","22pF","Capacitor_THT:C_Disc_D9.0mm_W5.0mm_P10.00mm","http://www.vishay.com/docs/28537/vy1series.pdf","BC2364-ND","digikey"
"C2","22pF","Capacitor_THT:C_Disc_D9.0mm_W5.0mm_P10.00mm","http://www.vishay.com/docs/28537/vy1series.pdf","BC2364-ND","digikey"
"J20","Conn_02x10_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf","609-3206-ND","digikey"
"J1","DB15_Female_HighDensity","Connector_Dsub:DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/l77hdxxxsd1ch4f.pdf","L77HDE15SD1CH4F-ND","digikey"
"Y2","Crystal","Crystal:Crystal_HC49-U_Vertical","http://www.txccrystal.com/images/pdf/9b.pdf","887-2015-ND","digikey"
"C4","22pF","Capacitor_THT:C_Disc_D9.0mm_W5.0mm_P10.00mm","http://www.vishay.com/docs/28537/vy1series.pdf","BC2364-ND","digikey"
"C3","22pF","Capacitor_THT:C_Disc_D9.0mm_W5.0mm_P10.00mm","http://www.vishay.com/docs/28537/vy1series.pdf","BC2364-ND","digikey"
"U2","ATmega328-PU","Package_DIP:DIP-28_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf"
"U3","LCC110","Package_DIP:DIP-8_W7.62mm","http://www.ixysic.com/home/pdfs.nsf/www/LCC110.pdf/$file/LCC110.pdf","CLA106-ND","digikey"
"R1","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"D1","D_Schottky_ALT","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","1N5819-E3/54GICT-ND","digikey"
"D2","D_Schottky_ALT","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","1N5819-E3/54GICT-ND","digikey"
"H1","MountingHole_Pad","MountingHole:MountingHole_3.5mm_Pad","~"
"R2","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"J2","Screw_Terminal_01x06","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-6-5.0-H_1x06_P5.00mm_Horizontal","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1935200.pdf","277-1581-ND","digikey"
"C5","470uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","http://nichicon-us.com/english/products/pdfs/e-upw.pdf","493-1702-ND","digikey"
"C6","470uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","http://nichicon-us.com/english/products/pdfs/e-upw.pdf","493-1702-ND","digikey"
"JP1","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"JP2","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
